0	0	0	0	0	0	0:0:0	0
1	580	460	350	180	1	0:22:30	2
2	740	590	450	230	1	0:27:0	3
3	950	755	575	295	1	0:33:0	3
4	1215	965	735	375	1	0:44:0	4
5	1555	1235	940	485	1	1:13:0	5
6	1995	1580	1205	620	1	2:20:0	6
7	2550	2025	1540	790	1	3:15:0	7
8	3265	2590	1970	1015	1	4:25:0	9
9	4180	3315	2520	1295	1	5:15:0	10
10	5350	4245	3230	1660	1	5:55:0	12
11	6845	5430	4130	2125	2	7:10:0	15
12	8765	6950	5290	2720	2	8:25:0	18
13	11220	8900	6770	3480	2	9:50:0	21
14	14360	11390	8665	4455	2	11:05:0	26
15	18380	14580	11090	5705	2	12:45:0	31
16	23530	18660	14200	7300	2	14:15:0	37
17	30115	23885	18175	9345	2	16:25:0	44
18	38550	30570	23260	11965	2	19:20:0	53
19	49340	39130	29775	15315	2	22:15:0	64
20	63155	50090	38110	19600	2	25:10:0	77
№	лес	глина	железо	зерно	потреб.	время	ЕК
Резиденция
