0	0	0	0	0	0	0:0:0	0	0
1	155	130	125	70	2	0:0:35	1	110
2	200	165	160	90	1	0:4:20	1	120
3	255	215	205	115	1	0:9:15	2	130
4	325	275	260	145	1	0:17:30	2	140
5	415	350	335	190	1	0:41:0	2	150
6	535	445	430	240	2	1:33:0	3	160
7	680	570	550	310	2	2:20:0	4	170
8	875	730	705	395	2	3:10:0	4	180
9	1115	935	900	505	2	3:50:0	5	190
10	1430	1200	1155	645	2	4:25:0	6	200
11	1830	1535	1475	825	2	5:25:0	7	210
12	2340	1965	1890	1060	2	6:25:0	9	220
13	3000	2515	2420	1355	2	7:30:0	11	230
14	3840	3220	3095	1735	2	8:30:0	13	240
15	4910	4120	3960	2220	2	9:50:0	15	250
16	6290	5275	5070	2840	3	11:0:0	18	260
17	8050	6750	6490	3635	3	12:45:0	22	270
18	10300	8640	8310	4650	3	15:5:0	27	280
19	13185	11060	10635	5955	3	17:25:0	32	290
20	16880	14155	13610	7620	3	19:45:0	38	300
№	лес	глина	железо	зерно	потреб.	время	ЕК	% устойчивости
Каменотёс
