TRAVIAN (x3)
Деревня	культура / Village culture
1	0
2	500
3	2600
4	6700
5	12900
6	21600
7	32900
8	46900
9	63700
10	83500
11	106400
12	132500
13	161900
14	194600
15	230700
16	270400
17	313700
18	360600
19	411300
20	465700
21	524000
22	586300
23	652500
24	722700
25	797000
26	875500
27	958200
28	1045000
29	1136200
30	1231700
31	1331600
32	1435900
33	1544700
34	1658000
35	1775800
36	1898300
37	2025300
38	2157100
39	2293500
40	2434700
41	2580700
42	2731500
43	2887200
44	3047700
45	3213200
46	3383700
47	3559100
48	3739600
49	3925100
50	4115800
51	4311500
52	4512400
53	4718500
54	4929800
55	5146400
56	5368300
57	5595400
58	5827900
59	6065700
60	6309000
61	6557600
62	6811700
63	7071300
64	7336400
65	7607000
66	7883100
67	8164900
68	8452200
69	8745200
70	9043800
71	9348100
72	9658100
73	9973900
74	10295400
75	10622600
76	10955700
77	11294600
78	11639300
79	11989900
80	12346400
81	12708800
82	13077200
83	13451500
84	13831800
85	14218100
86	14610400
87	15008800
88	15413200
89	15823700
90	16240400
91	16663100
92	17092000
93	17527100
94	17968400
95	18415900
96	18869600
97	19329600
98	19795800
99	20268400
100	20747200
101	21232400
102	21723900
103	22221800
104	22726100
105	23236800
106	23753900
107	24277400
108	24807400
109	25343900
110	25886900
111	26436400
112	26992400
113	27555000
114	28124100
115	28699900
116	29282200
117	29871200
118	30466800
119	31069000
120	31677900
121	32293500
122	32915900
123	33544900
124	34180700
125	34823200
